_id,head,normalized_head
205,qa0but0qa2but0,abut-abut
206,si0ŋa0but1,singabut
207,qa0la0bu2tun0,alabutun
208,qa0lab2tan0,alabtan
209,qab0ta0nan1,abtanan
210,qa0la0bu2tan0,alabutan
211,qu0ma0qa2but0,umaabut
212,qu0ma0la2but0,umalabut
213,ta0li0qa0but1,taliabut
214,ta0li0qa2but0,taliabut
215,sa0li0qa0but1,saliabut
216,sa0li0qa2but0,saliabut
217,qab2wag0,abwag
218,qab0ya0dur1,abyadur
219,qab2yan0,abyan
220,qab0ya0si0yun1,abyasiyun
221,qab0yas2yun0,abyasyun
222,qab0yir2tu0,abyirtu
223,qab0yir2tu0,abyirtu
224,qab2yug0,abyug
225,0,a.d.
226,qad1,ad
227,qad1,ad
228,qa0da1,ada
231,qa2da0,ada
232,qa0da1,ada
233,qad2qad0,ad-ad
234,qad0qa0ran1,ad-aran
235,qA0dan1,adan
236,qad2ban0,adbans
238,qad0bay2sir0,adbaysir
241,qad0bin0tis2ta0,adbintista
242,qad0bir0bi0yu1,adbirbiyu
243,qAd0bi0yin2tu0,adbiyintu
244,qad2gaw0,adgaw
245,qa0di2qa0,adia
246,di2qa0,dia
247,qa2dik0,adik
248,qa0di0lan0ta2du0,adilantadu
249,qa0di0lan2tar0,adilantar
250,qa0di0lan2tu0,adilantu
251,ka0qa0di0lan0tu2han0,kaadilantuhan
252,qa0dil2pa0,adilpa
253,qa0di0mas1,adimas
254,qa0diŋ0ma0sin1,adingmasin
255,qa0di0nu2wid0,adinuwid
256,qa0di0sir1,adisir
257,qa0di2sir0,adisir
258,qa0di0yus1,adiyus
259,qa0di0yus1,adiyus
261,qad2law0,adlaw
265,qad0law0qad2law0,adlaw-adlaw
266,qad0la2wan0,adlawan
267,qad0la0wan1,adlawan
268,qi0nad2law0,inadlaw
269,qi0nad0la2wan0,inadlawan
270,ka0qad0la2wan0,kaadlawan
271,ka0qad0la2wun0,kaadlawun
272,paŋ0qad2law0,pang-adlaw
273,ta0la0qad0la0wan1,talaadlawan
274,ti0qad2law0,tiadlaw
275,tiŋ0qad2law0,ting-adlaw
276,qad2lib0,adlib
277,qad2lip0,adlip
278,qad2lip0,adlip
279,qad2luq0,adlu
280,qad0mi0qist0ra0dur1,administradur
281,qad0mi0qist0ra0si0yun1,administrasiyun
282,qad0mi0qist0ra0ti2bu0,administratibu
283,qad0mi0rar1,admirar
284,qad0mi0si0yun1,admisiyun
285,qad0mi0tar1,admitar
286,qad0mi0ti2du0,admitidu
287,qad0mi0tir1,admitir
288,qad2ŋan0,adngan
289,qad2pan0,adpan
290,qad0pa0nan1,adpanan
291,qad2ris0,adris
293,qad2tu0,adtu
294,hi0qad2tu0,hiadtu
295,ha0qad2tu0,haadtu
296,qad0tu0qan1,adtuan
297,qad0tu0qu2nun0,adtuunun
298,qa0lad0tu2qun0,aladtuun
299,qu0ma0qad0tu2qay0,umaadtuay
300,qu0ma0qad2tu0,umaadtu
301,ka0qad0tu0qun1,kaadtuun
302,qad2tu0,adtu
303,qad2tut0,adtut
304,qa0du0ba2du0,adubadu
305,qa0du0ba2wu0,adubawu
306,qa0du0ba2wu0,adubawu
307,qa0du2bi0,adubi
308,qa0du2bu0,adubu
309,qa0dul1,adul
310,qa0dul1,adult
312,qa0dul0tir2yu0,adultiryu
313,qad2qun0,ad-un
314,qa0du2na0,aduna
315,du2na0,duna
317,pa0ka0qa0du2na0,pakaaduna
318,qa0du0na2han0,adunahan
319,pa0ka0qa0du0na2han0,pakaadunahan
320,qa0dup1,aduptar
321,qa0dur2nu0,adurnu
322,pa0ŋa0dur2nu0,pangadurnu
323,qad0wa2na0,adwana
324,qad2yaq0,adya
325,qad0ya0qan1,adyaan
326,qad2yak0,adyaks
327,qad2yas0,adyas
328,qad0yin2da0,adyinda
329,qad0yi0nu0mu2tu0,adyinumutu
330,qag1,ag
331,ǵ0,g
333,qa0ga0qab1,agaab
334,qa0ga2qak0,agaak
335,qa0gad1,agad
337,ý0,y
339,qa2gad0,agad
340,pa0ŋa2gad0,pangagad
341,qu0ma0gad1,umagad
342,qu0ma0ga0run1,umagarun
343,qa0gad2qad0,agad-ad
344,qa0gad2qad0,agad-ad
345,qag2qag0,ag-ag
346,qa0ga0gaŋ1,agagang
347,hi0qa0gaŋ1,hiagang
348,ha0qa0gaŋ1,haagang
349,qa0ga2had0,agahad
350,qa2gak0,agak
351,qa0ga0kay1,agakay
352,ma0ga0qa0gak1,magaagak
353,ma0ga0qa2gak0,magaagak
354,qa0la0ga0kun1,alagakun
355,qa0gak2qak0,agak-ak
356,qa0ga2lun0,agalun
357,pa0ŋa0ga2lun0,pangagalun
358,qa0gan2qan0,agan-an
359,qa0gan0qa0nun1,agan-anun
360,qa0gaŋ1,agang
361,qa0gaŋ0qa0gaŋ1,agang-agang
362,qa0gaŋ0qa0ga0ŋun1,agang-agangun
363,qa0gap1,agap
364,qa0ga2paŋ0,agapang
365,qa0ga2ra0,agara
366,qa0ga0ray1,agaray
367,qa2gas0,agas
368,qa0gas1,agas
370,qa0gaw1,agaw
371,gaw1,gaw
372,qig0qa2gaw0,ig-agaw
377,mag0qa2gaw0,mag-agaw
378,ma0nag0qa2gaw0,manag-agaw
379,pag0qa0ga2wan0,pag-agawan
380,pa0nag0qa0ga2wan0,panag-agawan
382,qa2gaw0,agaw
383,qa0ga0wan1,agawan
384,ma0ŋa0qa0gaw1,mangaagaw
385,qa0ga2wun0,agawun
386,qa0gay1,agay
387,qa2gay0,agay
388,qa0gay2qay0,agay-ay
389,qag2bat0,agbat
390,qag0ba2ti0,agbati
391,qag2baw0,agbaw
392,qag2bay0,agbay
393,qag2bun0,agbun
394,qag2da0,agda
395,qa0lag0da0hun1,alagdahun
396,qag0da0hu2nun0,agdahunun
397,qag2dul0,agdul
398,qag1,agh
399,qag2had0,aghad
400,qag2hat0,aghat
401,ma0qag0ha2tun0,maaghatun
402,qag2hud0,aghud
403,qag2hup0,aghup
404,ma0qag2hup0,maaghup
405,qag2huy0,aghuy
406,qag0hu0yan1,aghuyan
407,qag2huy0,aghuy
408,qa0gi1,agi
409,qa2gi0,agi
412,qa0gi1,agi
413,pa0qa2gi0,paagi
414,pi0na0qa2gi0,pinaagi
415,pa0ŋa2gi0,pangagi
416,qa0gi0qa2nan0,agianan
417,qa0la0gi2qan0,alagian
418,qu0ma0qa2gi0,umaagi
419,qu0ma0la2gi0,umalagi
420,ka0qa2gi0,kaagi
421,ka0qa0gin2hun0,kaaginhun
422,ma0qa0gin2hun0,maaginhun
423,qa2gid0,agid
424,qa0gi0gi2siŋ0,agigising
425,qa0gi2qik0,agiik
426,qa0gik2qik0,agik-ik
427,qa0gil1,agil
428,qi0ga0la0gil1,igalagil
429,qa0gi0la1,agila
430,qa0gi2mud0,agimud
431,qa0gi0nal2du0,aginaldu
433,qa0gi2ŋay0,agingay
434,qa0gin2sud0,aginsud
435,qa0gi2nud0,aginud
436,qa0gi0pu1,agipu
437,qa0gi0ri1,agiri
438,qa0gis2qis0,agis-is
439,qa0git2qit0,agit-it
440,qa0git2qit0,agit-it
441,qa0git0qi0tun1,agit-itun
442,qa0gi2tuŋ0,agitung
443,qa0gi0tuŋ1,agitung
444,qa2giw0,agiw
445,pa0qa2giw0,paagiw
446,qa0la0gi0wan1,alagiwan
447,qagi0wa0nan0,agiwanan
448,qag2kut0,agkut
449,qag0li0dul2si0,aglidulsi
450,qag0li2pay0,aglipay
451,qag0li0pa0ya2nu0,aglipayanu
452,qag2maŋ0,agmang
453,qag2mud0,agmud
454,qag2ŋan0,agngan
455,qag2ni0,agni
456,qag2nus0,agnus
457,qag2pan0,agpan
458,qag2paŋ0,agpang
459,qag2pas0,agpas
460,pa0qag2pas0,paagpas
461,pa0ŋag2pas0,pangagpas
462,qag0ra0bi0yar1,agrabiyar
463,qag0rab0ya2du0,agrabyadu
464,qag0rab2yu0,agrabyu
465,qag2ri0,agri
466,qag0ri0dul2si0,agridulsi
467,qag0ri0ga2wu0,agrigawu
468,qag0ri0kul0tu2ra0,agrikultura
469,qag0ri0kul0tu0ris2ta0,agrikulturista
470,qag0ri0min2sur0,agriminsur
471,qag0ri2sib0,agrisib
472,qag0ri0si2ba0,agrisiba
473,qag0ri0si2bu0,agrisibu
474,qi0nag0ri0si2bu0,inagrisibu
475,qag2sa0,agsa
476,qag2sa0,agsa
477,qag2siŋ0,agsing
478,qag2taq0,agta
479,qag2taŋ0,agtang
480,qag0ta0ŋun1,agtangun
481,qag2tiq0,agti
482,qa0gu1,agu
483,qA0gu.1,agu.
484,qag1,agu
485,qa0gub2hub0,agubhub
486,qa0gub2qub0,agub-ub
487,qa0gub2qub0,agub-ub
488,qa0gud1,agud
489,qa0gu2ha0,aguha
490,qa0gu0hil2ya0,aguhilya
491,qa0gu2huq0,aguhu
492,qa0guk2quk0,aguk-uk
493,qa0gu2kuy0,agukuy
494,qa0gul1,agul
495,qa0gu0laŋ1,agulang
496,qa0gu2luq0,agulu
497,qa0gum1,agum
498,qa2gum0,agum
499,pa0qa2gum0,paagum
500,hi0qa2gum0,hiagum
501,ha0qa2gum0,haagum
502,ka0qagu0man0,kaaguman
503,qa0gu0ma2qa0,agumaa
504,qa0gu2mud0,agumud
505,qa0gum2qum0,agum-um
506,qa2guŋ0,agung
507,qa0gu2ŋal0,agungal
508,qa0guŋ2quŋ0,agung-ung
509,qa0guŋ2quŋ0,agung-ung
510,qa0gu2ŋuy0,agunguy
511,qa0gu0ni2yas0,aguniyas
512,qa0gun2tuq0,aguntu
513,qa0gup2qup0,agup-up
514,qa0gup0qu0pun1,agup-upun
515,qa0gu0ruy1,aguruy
516,qa2gus0,agus
517,qa0gu0sa0his1,agusahis
518,qA0gus2tu0,agustu
519,qa0gus2qus0,agus-us
520,qa0gut1,agut
521,qa0gu0tun1,agutun
522,qa0gut1,agut
523,qa0gu2tay0,agutay
