head,modified_head
halúp,ha0lúp1
hálqup,hál2qup0
halupúwint,ha0lu0pú2win0
hálus,há2lus0
halúshus,ha0lús2hus0
hálut,há2lut0
halúthut,ha0lút2hut0
hálwa,hál2wa0
hálwan,hál2wan0
hálwut,hál2wut0
hámag,há2mag0
hámqak,hám2qak0
hamáŋpaŋ,ha0máŋ2paŋ0
hamayhámay,ha0may0há2may0
hamayhámay,ha0may0há2may0
hambabálud,ham0ba0bá2lud0
hambabayáw,ham0ba0ba0yáw1
hámbag,hám2bag0
hámbat,hám2bat0
hámbaw,hám2baw0
hámbil,hám2bil0
hambilhámbil,ham0bil0hám2bil0
hámbil,hám2bil0
hambiliká,ham0bi0li0ká1
hámbin,hám2bin0
hambubúkag,ham0bu0bú2kag0
hambubúyna,ham0bu0búy2na0
hámbug,hám2bug0
hinámbug,hi0nám2bug0
hambugíra,ham0bu0gí2ra0
hambugíru,ham0bu0gí2ru0
hambugiruún,ham0bu0gi0ru0qún
hambugiruhún,ham0bu0gi0ru0hún1
hambugírit,ham0bu0gí2rit0
hámbuk,hám2buk0
hámbun,hám2bun0
hambúrdyir,ham0qúrdyir0
hámbuy,hám2buy0
hinámbuy,hi0nám2buy0
hamíq,ha0míq1
hamiún,ha0mi0qún
hamíl,ha0míl1
hámil,há2mil0
hamilhámil,ha0mil0há2mil0
hamíliq,ha0mí2liq0
hamílsiŋ,ha0míl2siŋ0
hámir,há2mir0
hámis,há2mis0
hámlag,hám2lag0
hámlig,hám2lig0
hámlug,hám2lug0
hámluy,hám2luy0
hámpak,hám2pak0
hinámpak,hi0nám2pak0
hámpaŋ,hám2paŋ0
hámpid,hám2pid0
hámpil,hám2pil0
hampilhámpil,ham0pil0hám2pil0
hámpil,hám2pil0
hampíluq,ham0pí2luq0
hámpul,hám2pul0
hampuúg,ham0pu0qúg
hámtaŋ,hám2taŋ0
hámtuŋ,hám2tuŋ0
hamúq,ha0múq1
hamúg,ha0múg1
hámug,há2mug0
hámqug,hám2qug0
hamugáway,ha0mu0gá2way0
hamúk,ha0múk1
hámuk,há2muk0
hamukán,ha0mu0kán1
hamukún,ha0mu0kún1
hamún,ha0mún1
hamunáda,ha0mu0ná2da0
hamún,ha0mún1
hámun,há2mun0
hamúŋ,ha0múŋ1
hamúŋ,ha0múŋ1
hámus,há2mus0
hamútan,ha0mú2tan0
hamúy,ha0múy1
hamuyhámuy,ha0muy0há2muy0
hámyaŋ,hám2yaŋ0
háNq,háN1
haná,ha0ná1
hanáq,ha0náq1
hanáb,ha0náb1
hanágduŋ,ha0nág2duŋ0
hanáp,ha0náp1
hanás,ha0nás1
hanashánas,ha0nas0há2nas0
kahanás,ka0ha0nás1
hánaw,há2naw0
hánaw,há2naw0
paŋhánaw,paŋ0há2naw0
hanáy,ha0náy1
hánqay,hán2qay0
hinánqay,hi0nán2qay0
hanayák,ha0na0yák1
hanáyhay,ha0náy2hay0
hanayún,ha0na0yún1
hánbag,hán2bag0
hándaq,hán2daq0
handaqhándaq,han0daq0hán2daq0
hándag,hán2dag0
handalamáy,han0da0la0máy1
handalámay,han0da0lá2may0
handalanáw,han0da0la0náw1
handalás,han0da0lás1
handalítik,han0da0lí2tik0
handámay,han0dá2may0
handánaw,han0dá2naw0
hánday,hán2day0
hándig,hán2dig0
kahándig,ka0hán2dig0
handilíbqun,han0di0líb2qun0
handiliká,han0di0li0ká1
handilítik,han0di0lí2tik0
hándul,hán2dul0
hándul,hán2dul0
hándum,hán2dum0
handúmi,han0dú2mi0
handumánan,han0du0má2nan0
hinándum,hi0nán2dum0
halandúmun,ha0lan0dú2mun0
halandumún,ha0lan0du0mún1
handuŋúy,han0du0ŋúy1
handúraw,han0dú2raw0
handurawán,han0du0ra0wán1
hándus,hán2dus0
háŋ,háŋ1
háŋ,háŋ1
haŋád,ha0ŋád1
paŋhaŋád,paŋ0ha0ŋád1
haŋdanán,haŋ0da0nán1
tagiháŋad,ta0gi0há2ŋad0
haláŋdun,ha0láŋ2dun0
haŋág,ha0ŋág1
haŋaháŋ,ha0ŋa0háŋ1
háŋak,há2ŋak0
haŋál,ha0ŋál1
hinaŋál,hi0na0ŋál1
kahaŋál,ka0ha0ŋál1
haŋás,ha0ŋás1
haŋáwa,ha0ŋá2wa0
haŋáy,ha0ŋáy1
háŋay,há2ŋay0
háŋbat,háŋ2bat0
humaháŋbat,hu0ma0háŋ2bat0
kahaŋbátun,ka0haŋ0bá2tun0
háŋgaq,háŋ2gaq0
haŋgaún,haŋ0ga0qún
háŋgab,háŋ2gab0
háŋgap,háŋ2gap0
háŋgat,háŋ2gat0
háŋgaw,háŋ2gaw0
haŋgriníd,qaŋg0ri0níd1
háŋgup,háŋ2gup0
háŋgup,háŋ2gup0
háŋgus,háŋ2gus0
háŋhaŋ,háŋ2haŋ0
háŋin,há2ŋin0
pahaŋín,pa0ha0ŋín1
haŋinán,ha0ŋi0nán1
kahaŋinán,ka0ha0ŋi0nán1
haŋínun,ha0ŋí2nun0
háŋir,há2ŋir0
haŋít,ha0ŋít1
haŋitán,ha0ŋi0tán1
háŋkab,háŋ2kab0
háŋkub,háŋ2kub0
háŋkub,háŋ2kub0
háŋlas,háŋ2las0
hanqgriníd,nqg0ri0níd1
háŋtud,háŋ2tud0
[pronoún],[p0ro0no0qún
kahaŋtúran,ka0haŋ0tú2ran0
haŋuhág,ha0ŋu0hág1
haŋúl,ha0ŋúl1
háŋul,há2ŋul0
kahaŋúl,ka0ha0ŋúl1
kahaŋulhaŋúl,ka0ha0ŋul0ha0ŋúl1
haŋúp,ha0ŋúp1
gihaŋúp,gi0ha0ŋúp1
hinaŋúp,hi0na0ŋúp1
kahinaŋúp,ka0hi0na0ŋúp1
hinaláŋpun,hi0na0láŋ2pun0
mahinaláŋpun,ma0hi0na0láŋ2pun0
mahinaŋpánun,ma0hi0naŋ0pá2nun0
háŋus,há2ŋus0
haŋút,ha0ŋút1
háŋut,há2ŋut0
háŋwat,háŋ2wat0
háŋyuq,háŋ2yuq0
haŋyuánan,haŋ0yu0quáqan0
hinaŋyúan,hi0naŋ0yú2qan0
haŋyuúnun,haŋ0yu0quúqun0
háni,há2ni0
háni,há2ni0
hánib,há2nib0
hinánib,hi0ná2nib0
haníg,ha0níg1
hanimún,ha0ni0mún1
hánip,há2nip0
haníti,ha0ní2ti0
kahaníti,ka0ha0ní2ti0
hánlag,hán2lag0
hánlas,hán2las0
hanlilibún,han0li0li0bún1
hanliliká,han0li0li0ká1
hanlilítik,han0li0lí2tik0
hanlulúkay,han0lu0lú2kay0
hánsak,hán2sak0
hántak,hán2tak0
hantákan,han0tá2kan0
hantakán,han0ta0kán1
hantakanán,han0ta0ka0nán1
hantakíru,han0ta0kí2ru0
hantánaq,han0tá2naq0
hantatalú,han0ta0ta0lú1
hantatámsi,han0ta0tám2si0
hantatánsi,han0ta0tán2si0
hántik,hán2tik0
hántiŋ,hán2tiŋ0
hántuk,hán2tuk0
hántuŋ,hán2tuŋ0
hanú,ha0nú1
hanubúy,ha0nu0búy1
hanúgun,ha0nú2gun0
hánquk,hán2quk0
hanqukánan,han0qu0ká2nan0
hanúmqu,ha0núm2qu0
hanunúmqu,ha0nu0núm2qu0
hanút,ha0nút1
hanút,ha0nút1
hanúy,ha0núy1
hánuy,há2nuy0
hányag,hán2yag0
hányuq,hán2yuq0
hā́ṕ,0
hapáq,ha0páq1
hapág,ha0pág1
hapák,ha0pák1
hapás,ha0pás1
hapathapát,ha0pat0ha0pát1
hapáw,ha0páw1
hinapáw,hi0na0páw1
hápay,há2pay0
hinápay,hi0ná2pay0
hápdus,háp2dus0
kahápdus,ka0háp2dus0
hápiq,há2piq0
hapihápi,ha0pi0há2pi0
hapíhip,ha0pí2hip0
hapín,ha0pín1
hapít,ha0pít1
hapithapít,ha0pit0ha0pít1
hapitánan,ha0pi0tá2nan0
hápit,há2pit0
háplaq,háp2laq0
háplak,háp2lak0
háplas,háp2las0
paŋháplas,paŋ0háp2las0
hápluq,háp2luq0
háplus,háp2lus0
háplut,háp2lut0
hápluy,háp2luy0
hápnig,háp2nig0
hápnut,háp2nut0
hápsaq,háp2saq0
hápsay,háp2say0
hápslip,qápslip0
hapúq,ha0púq1
hápuq,há2puq0
hapúq,ha0púq1
kahápuq,ka0há2puq0
hapúhap,ha0pú2hap0
hinapúhap,hi0na0pú2hap0
hapúlas,ha0pú2las0
hapún,ha0pún1
sá,sá1
dihapún,di0ha0pún1
hapunánun,ha0pu0ná2nun0
hinapún,hi0na0pún1
hapunís,ha0pu0nís1
hápun,há2pun0
hapunhápun,ha0pun0há2pun0
hiŋhapún,hiŋ0ha0pún1
pahapún,pa0ha0pún1
pakahapún,pa0ka0ha0pún1
paŋhihapún,paŋ0hi0ha0pún1
panihapún,pa0ni0ha0pún1
hapunánun,ha0pu0ná2nun0
kahapunánun,ka0ha0pu0ná2nun0
kahapúnun,ka0ha0pú2nun0
tighapún,tig0ha0pún1
hapunún,ha0pu0nún1
hapús,ha0pús1
hapúy,ha0púy1
hápuy,há2puy0
hapuyhápuy,ha0puy0há2puy0
hápyud,háp2yud0
hára,há2ra0
hárab,há2rab0
harabharáb,ha0rab0ha0ráb1
harábi,ha0rá2bi0
harág,ha0rág1
harána,ha0rá2na0
paŋharána,paŋ0ha0rá2na0
háraŋ,há2raŋ0
háraŋ,há2raŋ0
háras,há2ras0
harasharás,ha0ras0ha0rás1
hárat,há2rat0
haráw,ha0ráw1
harayháray,ha0ray0há2ray0
hárbas,hár2bas0
hárdin,hár2din0
hardiníru,har0di0ní2ru0
hárdul,hár2dul0
hárdwir,qárdwir0
harí,ha0rí1
iharí,ha0rí1
hári,há2ri0
háriq,há2riq0
háriq,há2riq0
hariqháriq,ha0riq0há2riq0
hariqhariún,ha0riq0ha0ri0qún
mahariqhariún,ma0ha0riq0ha0ri0qún
hariánun,ha0ri0qiáqun0
ginhárian,gin0hári0qan0
giŋhárian,giŋ0hári0qan0
háriq,há2riq0
hárim,há2rim0
harína,ha0rí2na0
haríniŋ,ha0rí2niŋ0
hársi,hár2si0
harsiyá,har0si0yá1
harúg,ha0rúg1
haruhás,ha0ru0hás1
harúhay,ha0rú2hay0
harún,ha0rún1
háruŋ,há2ruŋ0
harús,ha0rús1
haruyháruy,ha0ruy0há2ruy0
hás,hás1
haság,ha0ság1
hásag,há2sag0
hasaqhásaq,ha0saq0há2saq0
hásan,há2san0
hasáŋ,ha0sáŋ1
hásaŋ,há2saŋ0
hasaŋhásaŋ,ha0saŋ0há2saŋ0
hasáŋan,ha0sá2ŋan0
háshas,hás2has0
hinashásan,hi0nas0há2san0
hásiq,há2siq0
hasindíru,ha0sin0dí2ru0
háskan,hás2kan0
kaq[adjectivé],kaq0[ad0jec0ti0vé]1
[verb],ver0
háslag,hás2lag0
háslir,hás2lir0
hásluq,hás2luq0
hasluqhásluq,has0luq0hás2luq0
hásluq,hás2luq0
hásluq,hás2luq0
kahásluq,ka0hás2luq0
hásmag,hás2mag0
háspi,hás2pi0
hásta,hás2ta0
hastilán,has0ti0lán1
hasúq,ha0súq1
hasúq,ha0súq1
hasúg,ha0súg1
hasúk,ha0súk1
hasúk,ha0súk1
hásul,há2sul0
kahásul,ka0há2sul0
mahasúlun,ma0ha0sú2lun0
háswaq,hás2waq0
hasyínda,has0yín2da0
hát,hát1
hatáq,ha0táq1
hátag,há2tag0
hiŋatág,hi0ŋa0tág1
halatagán,ha0la0ta0gán1
hataganán,ha0ta0ga0nán1
ighahatág,qig0ha0ha0tág1
ighalatág,qig0ha0la0tág1
hinátag,hi0ná2tag0
hinatagán,hi0na0ta0gán1
maghalatág,mag0ha0la0tág1
maŋhalatág,maŋ0ha0la0tág1
maghahatág,mag0ha0ha0tág1
maŋhahatág,maŋ0ha0ha0tág1
maŋgihatagún,maŋ0gi0ha0ta0gún1
maqún,ma0qún1
humalátag,hu0ma0lá2tag0
humalatág,hu0ma0la0tág1
halatagún,ha0la0ta0gún1
hatagunún,ha0ta0gu0nún1
hátak,há2tak0
hátaw,há2taw0
hatawhatáw,ha0taw0ha0táw1
hatáy,ha0táy1
hátay,há2tay0
pahátay,pa0há2tay0
hátdug,hát2dug0
hátiq,há2tiq0
hátsa,hát2sa0
hátsa,hát2sa0
hátsit,hát2sit0
hátsuy,hát2suy0
hátub,há2tub0
hatúd,ha0túd1
ighahátud,qig0ha0há2tud0
hatuqhatúq,ha0tuq0ha0túq1
hátul,há2tul0
hátum,há2tum0
haúd,ha0qúd
haúm,ha0qúm
háun,há2qun0
hawáq,ha0wáq1
háwaq,há2waq0
pahawáq,pa0ha0wáq1
háwak,há2wak0
hawák,ha0wák1
panighawák,pa0nig0ha0wák1
hawákan,ha0wá2kan0
hawakán,ha0wa0kán1
tagahawák,ta0ga0ha0wák1
hawakún,ha0wa0kún1
háwak,há2wak0
háwan,há2wan0
hawanán,ha0wa0nán1
háwqaŋ,háw2qaŋ0
kaháwqaŋ,ka0háw2qaŋ0
háwas,há2was0
háwqas,háw2qas0
hawáy,ha0wáy1
hawáyaq,ha0wá2yaq0
hawáyan,ha0wá2yan0
háwhaw,háw2haw0
háwhaw,háw2haw0
hawíd,ha0wíd1
háwid,há2wid0
háwid,há2wid0
paŋháwid,paŋ0há2wid0
hawiránan,ha0wi0rá2nan0
hawín,ha0wín1
háwin,há2win0
paháwin,pa0há2win0
pamaháwin,pa0ma0há2win0
háwla,háw2la0
háwlut,háw2lut0
háwsir,háw2sir0
hawúq,ha0wúq1
hawúd,ha0wúd1
hawudháwud,ha0wud0há2wud0
hawúghug,ha0wúg2hug0
hawulháwul,ha0wul0há2wul0
hawús,ha0wús1
háwut,há2wut0
hawúy,ha0wúy1
háy,háy1
háy,háy1
háy,háy1
hayáq,ha0yáq1
háyaq,há2yaq0
hayáq,ha0yáq1
tighayáq,tig0ha0yáq1
tiŋhayáq,tiŋ0ha0yáq1
hayabhayáb,ha0yab0ha0yáb1
háyqad,háy2qad0
háyag,há2yag0
paháyag,pa0há2yag0
pahayagán,pa0ha0ya0gán1
kaháyag,ka0há2yag0
maháyag,ma0há2yag0
hayághag,ha0yág2hag0
hayáhay,ha0yá2hay0
pahayáhay,pa0ha0yá2hay0
kahayáhay,ka0ha0yá2hay0
pahayahayán,pa0ha0ya0ha0yán1
hayqaláy,hay0qa0láy1
paŋhayqaláy,paŋ0hay0qa0láy1
háyan,há2yan0
hayáŋ,ha0yáŋ1
pahayáŋ,pa0ha0yáŋ1
hipahayáŋ,hi0pa0ha0yáŋ1
hapahayáŋ,ha0pa0ha0yáŋ1
tighayáŋ,tig0ha0yáŋ1
háyaw,há2yaw0
háyblad,qáyblad0
hayblarún,qayb0la0rún1
háybul,háy2bul0
haybulháybul,hay0bul0háy2bul0
háybuy,háy2buy0
háydyam,qáydyam0
háydyamp,qáydyam0
háyhat,háy2hat0
háyhay,háy2hay0
háyhay,háy2hay0
paŋháyhay,paŋ0háy2hay0
háyhil,háy2hil0
háyis,há2yis0
hayískul,ha0yís2kul0
háyit,há2yit0
háylu,háy2lu0
paháylu,pa0háy2lu0
mahaylúhun,ma0hay0lú2hun0
mahaylúun,ma0hay0lú2qun0
háypay,háy2pay0
háypay,háy2pay0
hayún,ha0yún1
háyun,há2yun0
hayúŋ,ha0yúŋ1
háyup,há2yup0
hayupán,ha0yu0pán1
háywi,háy2wi0
háywis,háy2wis0
hí,hí1
hí,hí1
híq,híq1
híq,híq1
híq(→),híq1
hiqán(→),hi0qán1
hiáy,hi0qáy
hibabúyna,hi0ba0búy2na0
híbag,hí2bag0
hibág,hi0bág1
híbal,hí2bal0
hibálag,hi0bá2lag0
hibalú,hi0ba0lú1
hibaŋkaágan,hi0baŋ0ka0qaáqan0
híbat,hí2bat0
hibát,hi0bát1
hibawú,hi0ba0wú1
híbi,hí2bi0
híbi,hí2bi0
hibíq,hi0bíq1
híbiq,hí2biq0
hibiqhibíq,hi0biq0hi0bíq1
hibílya,hi0bíl2ya0
hibiwít,hi0bi0wít1
hibubúyna,hi0bu0búy2na0
híbuk,hí2buk0
híbul,hí2bul0
hibulhíbul,hi0bul0hí2bul0
hibúluŋ,hi0bú2luŋ0
hibulús,hi0bu0lús1
híbun,hí2bun0
hibúŋ,hi0búŋ1
hibuŋhibúŋ,hi0buŋ0hi0búŋ1
kahibuŋhibuŋán,ka0hi0buŋ0hi0bu0ŋán1
híbus,hí2bus0
hibúylas,hi0búy2las0
híd,híd1
hídban,híd2ban0
hídhid,híd2hid0
hídhid,híd2hid0
hidkwártir,qidk0wár2tir0
hídlaw,híd2law0
kahídlaw,ka0híd2law0
hidlayít,hid0la0yít1
hígaq,hí2gaq0
higád,hi0gád1
higál,hi0gál1
hígal,hí2gal0
kahígal,ka0hí2gal0
higála,hi0gá2la0
kahigaláan,ka0hi0ga0lá2qan0
managhigála,ma0nag0hi0gá2la0
mahigaláun,ma0hi0ga0lá2qun0
panaghigála,pa0nag0hi0gá2la0
panaghigalaáy,pa0nag0hi0ga0la0qáy
higálam,hi0gá2lam0
higám,hi0gám1
higánti,hi0gán2ti0
higantihigánti,hi0gan0ti0hi0gán2ti0
higantihún,hi0gan0ti0hún1
higásbut,hi0gás2but0
gásbut,gás2but0
hígaw,hí2gaw0
higayún,hi0ga0yún1
hígdaq,híg2daq0
higdaánan,hig0da0qaáqan0
hígkuq,híg2kuq0
higmuyúq,hig0mu0yúq1
hígpit,híg2pit0
hígup,hí2gup0
higupán,hi0gu0pán1
higupánan,hi0gu0pá2nan0
higús,hi0gús1
hígus,hí2gus0
higút,hi0gút1
pahigút,pa0hi0gút1
higtanán,hig0ta0nán1
ighiligút,qig0hi0li0gút1
hinigút,hi0ni0gút1
hinígtan,hi0níg2tan0
paŋhigút,paŋ0hi0gút1
higwaús,hig0wa0qús
kahigwaús,ka0hig0wa0qús
hihín,hi0hín1
hínin,hí2nin0
Hihúba,Hi0hú2ba0
hík,hík1
hikabhikáb,hi0kab0hi0káb1
híkad,hí2kad0
hikadhikád,hi0kad0hi0kád1
híkap,hí2kap0
hikaphíkap,hi0kap0hí2kap0
hikát,hi0kát1
híkaw,hí2kaw0
hinikáwan,hi0ni0ká2wan0
hikawán,hi0ka0wán1
kahikawán,ka0hi0ka0wán1
híkaw,hí2kaw0
híkay,hí2kay0
hiníkay,hi0ní2kay0
hilikáyun,hi0li0ká2yun0
tighikáy,tig0hi0káy1
taghikáy,tag0hi0káy1
híkdat,hík2dat0
hikiqhíkiq,hi0kiq0hí2kiq0
híklad,hík2lad0
híklin,hík2lin0
híkliŋ,hík2liŋ0
hikluqhíkluq,hik0luq0hík2luq0
híknat,hík2nat0
híknit,hík2nit0
hiktárya,hik0tár2ya0
híktin,hík2tin0
híkug,hí2kug0
hikuqhíkuq,hi0kuq0hí2kuq0
híkum,hí2kum0
hikút,hi0kút1
hikút,hi0kút1
hikutár,hi0ku0tár1
hikutádu,hi0ku0tá2du0
hikúy,hi0kúy1
híkyad,hík2yad0
hílaq,hí2laq0
hiláq,hi0láq1
hilaqhiláq,hi0laq0hi0láq1
hilahílaq,hi0la0hí2laq0
hílaq,hí2laq0
hiláb,hi0láb1
hílab,hí2lab0
hílab,hí2lab0
hilabút,hi0la0bút1
hiláda,hi0lá2da0
hiladúr,hi0la0dúr1
hílak,hí2lak0
hilák,hi0lák1
hilakhílak,hi0lak0hí2lak0
hinilakáy,hi0ni0la0káy1
hinílak,hi0ní2lak0
paghinílak,pag0hi0ní2lak0
kahilakún,ka0hi0la0kún1
mahilák,ma0hi0lák1
palahilák,pa0la0hi0lák1
hílam,hí2lam0
paŋhílam,paŋ0hí2lam0
hilamún,hi0la0mún1
hilámqus,hi0lám2qus0
paŋhilámqus,paŋ0hi0lám2qus0
hilamqusánan,hi0lam0qu0sá2nan0
paŋhilamqúsan,paŋ0hi0lam0qú2san0
hílan,hí2lan0
hilánat,hi0lá2nat0
hilántan,hi0lán2tan0
hilanatún,hi0la0na0tún1
hiláŋ,hi0láŋ1
hiláŋyud,hi0láŋ2yud0
hílap,hí2lap0
mahilapún,ma0hi0la0pún1
hilás,hi0lás1
hílas,hí2las0
hiláw,hi0láw1
tagílhaw,ta0gíl2haw0
hílay,hí2lay0
kahilayán,ka0hi0la0yán1
hílbas,híl2bas0
hílhig,híl2hig0
hílhil,híl2hil0
hilíbis,hi0lí2bis0
hinilíbis,hi0ni0lí2bis0
hílig,hí2lig0
hilíg,hi0líg1
mahílig,ma0hí2lig0
mahiligún,ma0hi0li0gún1
hilihúd,hi0li0húd1
hilikúptir,hi0li0kúp2tir0
hilimásaw,hi0li0má2saw0
paŋhilimásaw,paŋ0hi0li0má2saw0
hilíŋ,hi0líŋ1
hilíra,hi0lí2ra0
hílis,hí2lis0
hilís,hi0lís1
hinilisán,hi0ni0li0sán1
hilít,hi0lít1
pahilít,pa0hi0lít1
kahilitán,ka0hi0li0tán1
kahilithilitán,ka0hi0lit0hi0li0tán1
kinahilitán,ki0na0hi0li0tán1
hílmit,híl2mit0
hilmithílmit,hil0mit0híl2mit0
hilú,hi0lú1
hílu,hí2lu0
hilúan,hi0lú2qan0
hílu,hí2lu0
hilú,hi0lú1
hílug,hí2lug0
hílum,hí2lum0
hilúm,hi0lúm1
pakahilúm,pa0ka0hi0lúm1
kahílum,ka0hí2lum0
mahilúmun,ma0hi0lú2mun0
hilumún,hi0lu0mún1
mahilumún,ma0hi0lu0mún1
hilús,hi0lús1
paŋhilús,paŋ0hi0lús1
hinilús,hi0ni0lús1
hílut,hí2lut0
maŋhihílut,maŋ0hi0hí2lut0
maghihílut,mag0hi0hí2lut0
hilúy,hi0lúy1
hílwas,híl2was0
hílwas,híl2was0
himábaw,hi0má2baw0
hímag,hí2mag0
himaláŋ,hi0ma0láŋ1
himalíŋka,hi0ma0líŋ2ka0
himámat,hi0má2mat0
híman,hí2man0
kahimánan,ka0hi0má2nan0
híman,hí2man0
hímqan(→),hím2qan0
himáŋnuq,hi0máŋ2nuq0
himaŋúd,hi0ma0ŋúd1
kahimaŋúd,ka0hi0ma0ŋúd1
himanhíman,hi0man0hí2man0
himaráut,hi0ma0rá2qut0
paŋhimaráut,paŋ0hi0ma0rá2qut0
himásaw,hi0má2saw0
himáyaq,hi0má2yaq0
pahimáyaq,pa0hi0má2yaq0
kahimayáan,ka0hi0ma0yá2qan0
mahimayáun,ma0hi0ma0yá2qun0
hímbaq,hím2baq0
himbaŋkaágan,him0baŋ0ka0qaáqan0
hímbay,hím2bay0
himbayhímbay,him0bay0hím2bay0
hímbis,hím2bis0
himíq,hi0míq1
himiqhimíq,hi0miq0hi0míq1
hímiq,hí2miq0
himíq,hi0míq1
himiqhimíq,hi0miq0hi0míq1
himián,hi0mi0qán
himídyaq,hi0míd2yaq0
himidyaán,hi0mid0ya0qán
hímil,hí2mil0
himilhímil,hi0mil0hí2mil0
himílu,hi0mí2lu0
himisík,hi0mi0sík1
hímnu,hím2nu0
hímpit,hím2pit0
hímpus,hím2pus0
hímsug,hím2sug0
kahímsug,ka0hím2sug0
hímu,hí2mu0
hímuq,hí2muq0
pakahímuq,pa0ka0hí2muq0
mahímuq,ma0hí2muq0
hinímuq,hi0ní2muq0
kahimúan,ka0hi0mú2qan0
maghihímuq,mag0hi0hí2muq0
maghilímuq,mag0hi0lí2muq0
himúghat,hi0múg2hat0
himúgsuq,hi0múg2suq0
himúl,hi0múl1
paŋhimúl,paŋ0hi0múl1
himuláluŋ,hi0mu0lá2luŋ0
himuláut,hi0mu0lá2qut0
himúlus,hi0mú2lus0
himuŋáq,hi0mu0ŋáq1
himuŋáal,hi0mu0ŋá2qal0
himuŋáwuŋ,hi0mu0ŋá2wuŋ0
himuŋáyaq,hi0mu0ŋá2yaq0
himuŋsíyuq,hi0muŋ0sí2yuq0
himuríds,hi0mu0ríd1
himús,hi0mús1
himutákal,hi0mu0tá2kal0
himútquk,hi0mút2quk0
himúylas,hi0múy2las0
Hín.,Hín1
híNq,híN1
híNq,híN1
hinábdus,hi0náb2dus0
hináblus,hi0náb2lus0
hinabúq,hi0na0búq1
hínag,hí2nag0
hinágduŋ,hi0nág2duŋ0
hinagibán,hi0na0gi0bán1
hináhin,hi0ná2hin0
pahináhin,pa0hi0ná2hin0
hinalám,hi0na0lám1
hinálam,hi0ná2lam0
hínam,hí2nam0
hinamhinám,hi0nam0hi0nám1
kahínam,ka0hí2nam0
mahinamún,ma0hi0na0mún1
hínqan(→),hín2qan0
hinaŋibán,hi0na0ŋi0bán1
hináŋkan,hi0náŋ2kan0
hinánib,hi0ná2nib0
hinánuk,hi0ná2nuk0
hínas,hí2nas0
hinásaq,hi0ná2saq0
hináut,hi0ná2qut0
paŋhináut,paŋ0hi0ná2qut0
hináw,hi0náw1
paŋhináw,paŋ0hi0náw1
hináwan,hi0ná2wan0
hilináwan,hi0li0ná2wan0
hininawán,hi0ni0na0wán1
hináwnaw,hi0náw2naw0
hínay,hí2nay0
hinayhínay,hi0nay0hí2nay0
hinayán,hi0na0yán1
kahínay,ka0hí2nay0
hinayún,hi0na0yún1
hínay,hí2nay0
hinayhínay,hi0nay0hí2nay0
hinayák,hi0na0yák1
pahinayák,pa0hi0na0yák1
hináyhay,hi0náy2hay0
hinayún,hi0na0yún1
híndaq,hín2daq0
hindaanán,hin0da0qaa0qán
híndaŋ,hín2daŋ0
hindián,hin0di0qán
híndik,hín2dik0
pahíndik,pa0hín2dik0
paŋhíndik,paŋ0hín2dik0
hindíkan,hin0dí2kan0
híŋag,hí2ŋag0
hiŋahiŋá,hi0ŋa0hi0ŋá1
híŋak,hí2ŋak0
hiŋalhiŋál,hi0ŋal0hi0ŋál1
híŋan,hí2ŋan0
híŋqan(→),híŋ2qan0
hiŋaphiŋáp,hi0ŋap0hi0ŋáp1
hiŋári,hi0ŋá2ri0
hiŋatág,hi0ŋa0tág1
hiŋáwa,hi0ŋá2wa0
hiŋáwaq,hi0ŋá2waq0
kahiŋáwa,ka0hi0ŋá2wa0
mahiŋawaún,ma0hi0ŋa0wa0qún
hiŋbaŋkaágan,hiŋ0baŋ0ka0qaáqan0
híŋbis,híŋ2bis0
hiŋbisún,hiŋ0bi0sún1
hiŋíq,hi0ŋíq1
hiŋiqhiŋíq,hi0ŋiq0hi0ŋíq1
hiŋiqhíŋiq,hi0ŋiq0hí2ŋiq0
hiŋílin,hi0ŋí2lin0
hiŋitíŋ,hi0ŋi0tíŋ1
híŋkud,híŋ2kud0
híŋlit,híŋ2lit0
híŋluq,híŋ2luq0
híŋpit,híŋ2pit0
kahiŋpítan,ka0hiŋ0pí2tan0
kahiŋpitún,ka0hiŋ0pi0tún1
híŋuq,hí2ŋuq0
hiŋúq,hi0ŋúq1
paŋhíŋuq,paŋ0hí2ŋuq0
híŋuk,hí2ŋuk0
híŋus,hí2ŋus0
hiŋushiŋús,hi0ŋus0hi0ŋús1
hiŋúy,hi0ŋúy1
hínhin,hín2hin0
hiníbra,hi0níb2ra0
hinirál,hi0ni0rál1
hinirú,hi0ni0rú1
hínis,hí2nis0
hinís,hi0nís1
hiníti,hi0ní2ti0
hiníti,hi0ní2ti0
hínlas,hín2las0
paŋhínlas,paŋ0hín2las0
hinlawán,hin0la0wán1
hínlit,hín2lit0
hínluq,hín2luq0
híntil,hín2til0
hintulhíntul,hin0tul0hín2tul0
hinúq,hi0núq1
hinúg,hi0núg1
híŋgan,híŋ2gan0
hinúgan,hi0nú2gan0
hinúgay,hi0nú2gay0
hinúgqu,hi0núg2qu0
hinúgun,hi0nú2gun0
hininúgun,hi0ni0nú2gun0
kahinúgun,ka0hi0nú2gun0
mahinugnánun,ma0hi0nug0ná2nun0
hínuk,hí2nuk0
hínuk,hí2nuk0
hinúklug,hi0núk2lug0
mahinuklugún,ma0hi0nuk0lu0gún1
kahinúklug,ka0hi0núk2lug0
