head,modified_head
adiŋmasín,diŋ0ma0sín1
adinúwid,di0nú2wid0
adisír,di0sír1
adísir,dí2sir0
adiyús,di0yús1
adiyús,di0yús1
ádlaw,qádlaw0
adlawqádlaw,qad0law0qád2law0
adláwan,qad0lá2wan0
adlawán,qad0la0wán1
inádlaw,nád2law0
inadláwan,nad0lá2wan0
kaadláwan,ka0qaad0lá2qan0
kaadláwun,ka0qaad0lá2qun0
paŋqádlaw,paŋ0qád2law0
talaadlawán,ta0la0qaad0la0qán
tiádlaw,ti0qiádqaw0
tiŋqádlaw,tiŋ0qád2law0
ádlib,qádlib0
ádlip,qádlip0
ádlip,qádlip0
ádluq,qádluq0
administradúr,qad0mi0qist0ra0dúr1
administrasiyún,qad0mi0qist0ra0si0yún1
administratíbu,qad0mi0qist0ra0tí2bu0
admirár,qad0mi0rár1
admisiyún,qad0mi0si0yún1
admitár,qad0mi0tár1
admitídu,qad0mi0tí2du0
admitír,qad0mi0tír1
ádŋan,qádŋan0
ádpan,qádpan0
adpanán,qad0pa0nán1
ádris,qádris0
ádtu,qádtu0
hiádtu,hi0qiádqu0
haádtu,ha0qaádqu0
adtuán,qad0tu0qán
adtuúnun,qad0tu0quúqun0
aladtúun,lad0tú2qun0
umaadtúay,ma0qaad0tú2qay0
umaádtu,ma0qaádqu0
kaadtuún,ka0qaad0tu0qún
ádtu,qádtu0
ádtut,qádtut0
adubádu,du0bá2du0
adubáwu,du0bá2wu0
adubáwu,du0bá2wu0
adúbi,dú2bi0
adúbu,dú2bu0
adúl,dúl1
adúlt,dúl1
adultíryu,dul0tír2yu0
ádqun,qádqun0
adúna,dú2na0
dúna,dú2na0
pakaadúna,pa0ka0qaa0dú2qa0
adunáhan,du0ná2han0
pakaadunáhan,pa0ka0qaa0du0ná2qan0
adúptǎr,dúp1
adúrnu,dúr2nu0
paŋadúrnu,pa0ŋa0dúr2nu0
adwána,qad0wá2na0
ádyaq,qádyaq0
adyaán,qad0ya0qán
ádyaks,qádyak0
ádyas,qádyas0
adyínda,qad0yín2da0
adyinumútu,qad0yi0nu0mú2tu0
ág,g0
ǵ,ǵ0
agaáb,ga0qáb
agáak,gá2qak0
agád,gád1
ý,ý0
ágad,gad0
paŋágad,pa0ŋá2gad0
umagád,ma0gád1
umagarún,ma0ga0rún1
agádqad,gád2qad0
agádqad,gád2qad0
ágqag,qágqag0
agagáŋ,ga0gáŋ1
hiagáŋ,hi0qia0qáŋ
haagáŋ,ha0qaa0qáŋ
agáhad,gá2had0
ágak,gak0
agakáy,ga0káy1
magaagák,ma0ga0qaa0qák
magaágak,ma0ga0qaáqak0
alagakún,la0ga0kún1
agákqak,gák2qak0
agálun,gá2lun0
paŋagálun,pa0ŋa0gá2lun0
agánqan,gán2qan0
aganqanún,gan0qa0nún1
agáŋ,gáŋ1
agaŋqagáŋ,gaŋ0qa0gáŋ1
agaŋqagaŋún,gaŋ0qa0ga0ŋún1
agáp,gáp1
agápaŋ,gá2paŋ0
agára,gá2ra0
agaráy,ga0ráy1
ágas,gas0
agás,gás1
agáw,gáw1
gáw,gáw1
igqágaw,qig0qá2gaw0
magqágaw,mag0qá2gaw0
managqágaw,ma0nag0qá2gaw0
pagqagáwan,pag0qa0gá2wan0
panagqagáwan,pa0nag0qa0gá2wan0
ágaw,gaw0
agawán,ga0wán1
maŋaagáw,ma0ŋa0qaa0qáw
agáwun,gá2wun0
agáy,gáy1
ágay,gay0
agáyqay,gáy2qay0
ágbat,qágbat0
agbáti,qag0bá2ti0
ágbaw,qágbaw0
ágbay,qágbay0
ágbun,qágbun0
ágda,qágda0
alagdahún,lag0da0hún1
agdahúnun,qag0da0hú2nun0
ágdul,qágdul0
ágh,0
ághad,qághad0
ághat,qághat0
maaghátun,ma0qaag0há2qun0
ághud,qághud0
ághup,qághup0
maághup,ma0qaágqup0
ághuy,qághuy0
aghuyán,qag0hu0yán1
ághuy,qághuy0
agí,gí1
ági,gi0
agí,gí1
paági,pa0qaáqi0
pinaági,pi0na0qaáqi0
paŋági,pa0ŋá2gi0
agiánan,gi0qiáqan0
alagían,la0gí2qan0
umaági,ma0qaáqi0
umalági,ma0lá2gi0
kaági,ka0qaáqi0
kaagínhun,ka0qaa0gín2qun0
maagínhun,ma0qaa0gín2qun0
ágid,gid0
agigísiŋ,gi0gí2siŋ0
agíik,gí2qik0
agíkqik,gík2qik0
agíl,gíl1
igalagíl,ga0la0gíl1
agilá,gi0lá1
