_id,head,normalized_head
5127,bugtù,bugtu
5128,bugtù ang ginháwa,bugtu ang ginhawa
5129,walay bugtù,walay bugtu
5130,bugtuk,bugtuk
5131,bugtung,bugtung
5132,bugtung lubi,bugtung lubi
5133,binugtung,binugtung
5134,bugtungan,bugtungan
5135,bugtus,bugtus
5136,bugu,bugu
5137,búgù,bugu
5138,búgù,bugu
5139,buguk,buguk
5140,binuguk,binuguk
5141,buguk,buguk
5142,binuguk,binuguk
5143,buguk,buguk
5144,búguk,buguk
5145,búguk,buguk
5146,bugul,bugul
5147,búgul,bugul
5148,kabúgul,kabugul
5149,bugun,bugun
5150,bugunan,bugunan
5151,bugung,bugung
5152,bug-us,bug-us
5153,kabug-us,kabug-us
5154,kabug-úsan,kabug-usan
5155,bug-us,bug-us
5156,buguy,buguy
5157,binuguy,binuguy
5158,bugwad,bugwad
5159,bugwak,bugwak
5160,bugwal,bugwal
5161,bugway,bugway
5162,bugyas,bugyas
5163,bugyung,bugyung
5164,búha,buha
5165,buhágay,buhagay
5166,buhahà,buhaha
5167,buhàhà,buhaha
5168,buhakhak,buhakhak
5169,buhalhal,buhalhal
5170,buhalhal,buhalhal
5171,buhang,buhang
5172,buhanghang,buhanghang
5173,búhat,buhat
5174,anak sa búhat,anak sa buhat
5175,babáying búhat,babaying buhat
5176,laláking búhat,lalaking buhat
5177,buhatbuhat,buhatbuhat
5178,mabuhatbuhatun,mabuhatbuhatun
5179,pamuhatbúhat,pamuhatbuhat
5180,buhatan,buhatan
5181,gimbuhatun,gimbuhatun
5182,binúhat,binuhat
5183,binuhátan,binuhatan
5184,buluhátun,buluhatun
5185,buluhatun,buluhatun
5186,magbubáhat,magbubahat
5187,magbubuhat,magbubuhat
5188,mamumuhat,mamumuhat
5189,manggibuhatun,manggibuhatun
5190,manggimbuhatun,manggimbuhatun
5191,pamúhat,pamuhat
5192,pinabúhat,pinabuhat
5193,talibúhat,talibuhat
5194,bumubuhat,bumubuhat
5195,búhat,buhat
5196,buháwi,buhawi
5197,buháwì,buhawi
5198,búhay,buhay
5199,búhì,buhi
5200,búhì ang búlan,buhi ang bulan
5201,búhì nga dugù,buhi nga dugu
5202,búhì ug dugù,buhi ug dugu
5203,mabúhì pay ginamus,mabuhi pay ginamus
5204,buhì,buhi
5205,binuhì,binuhi
5206,buhìbúhì,buhibuhi
5207,pabúhì,pabuhi
5208,pabúhì sa dugù,pabuhi sa dugu
5209,pakabúhì,pakabuhi
5210,panimúhì,panimuhi
5211,kabúhì,kabuhi
5212,pangabúhì,pangabuhi
5213,panginabúhì,panginabuhi
5214,kagibúhì,kagibuhi
5215,kinabúhì,kinabuhi
5216,manggibúhian,manggibuhian
5217,manggibúhiun,manggibuhiun
5218,mamumuhì,mamumuhi
5219,mamumúhì,mamumuhi
5220,bulúhì,buluhi
5221,pamuhì,pamuhi
5222,búhì,buhi
5223,buhì,buhi
5224,panimúhì,panimuhi
5225,binuhían,binuhian
5226,binuhian,binuhian
5227,binuy-an,binuy-an
5228,mamumuhì,mamumuhi
5229,pamúhì,pamuhi
5230,tingpamúhì,tingpamuhi
5231,buhiláman,buhilaman
5232,buhimyu,buhimyu
5233,buhis,buhis
5234,buluhísan,buluhisan
5235,buluhisan,buluhisan
5236,magbubúhis,magbubuhis
5237,pamuhis,pamuhis
5238,buhíyas,buhiyas
5239,buhù,buhu
5240,buhù,buhu
5241,búhù,buhu
5242,binùhan,binuhan
5243,binuhúan,binuhuan
5244,buhuk,buhuk
5245,buhukbúhuk,buhukbuhuk
5246,buhukan,buhukan
5247,buhúkan,buhukan
5248,Buhul,buhul
5249,Bul-ánun,bul-anun
5250,buhunbúhun,buhunbuhun
5251,kabuhunbúhun,kabuhunbuhun
5252,buhung,buhung
5253,kabuhung,kabuhung
5254,buhus,buhus
5255,búhus,buhus
5256,búhut,buhut
5257,buka,buka
5258,buka sa balay,buka sa balay
5259,búka,buka
5260,búka insindiyu,buka insindiyu
5261,búka abyirta,buka abyirta
5262,bukabularyu,bukabularyu
5263,bukabyirta,bukabyirta
5264,bukabyirtu,bukabyirtu
5265,bukad,bukad
5266,bukad ang atay,bukad ang atay
5267,bukad ug ngábil,bukad ug ngabil
5268,búkad,bukad
5269,búkad,bukad
5270,bukádu,bukadu
5271,bukag,bukag
5272,magbubukag,magbubukag
5273,búkag,bukag
5274,bukagay,bukagay
5275,bukaghay,bukaghay
5276,bukagáyun,bukagayun
5277,bukagháyun,bukaghayun
5278,bukagkag,bukagkag
5279,bukàkà,bukaka
5280,bukal,bukal
5281,búkal,bukal
5282,búkal ang dugù,bukal ang dugu
5283,búkal sa dugù sa kasingkásing,bukal sa dugu sa kasingkasing
5284,binúkal,binukal
5285,pinabúkal,pinabukal
5286,búkal,bukal
5287,bukána,bukana
5288,bukarilyu,bukarilyu
5289,bukas,bukas
5290,bukas ang pultahan,bukas ang pultahan
5291,bukas,bukas
5292,búkas,bukas
5293,bukasyun,bukasyun
5294,bukasyunal,bukasyunal
5295,bukatut,bukatut
5296,bukatut,bukatut
5297,búkaw,bukaw
5298,búkaw,bukaw
5299,bukawbukaw,bukawbukaw
5300,bukáwi,bukawi
5301,búkay,bukay
5302,bukáyù,bukayu
5303,bukbuk,bukbuk
5304,bukdu,bukdu
5305,bukgay,bukgay
5306,bukhad,bukhad
5307,bukhad ug pálad,bukhad ug palad
5308,bukháyù,bukhayu
5309,buki,buki
5310,búkì,buki
5311,búki digíra,buki digira
5312,búkid,bukid
5313,búkid sa buut,bukid sa buut
5314,hunàhúnà,hunahuna
5315,pabukid,pabukid
5316,bukiran,bukiran
5317,kabukíran,kabukiran
5318,kabukídan,kabukidan
5319,kabukílan,kabukilan
5320,tagabúkid,tagabukid
5321,bukirun,bukirun
5322,bukidnun,bukidnun
5323,bukìkì,bukiki
5324,bukilya,bukilya
5325,buking,buking
5326,búking úpis,buking upis
5327,bukinggan,bukinggan
5328,bukiskis,bukiskis
5329,bukiskis,bukiskis
5330,bukiskisun,bukiskisun
5331,bukisyunal,bukisyunal
5332,bukitkit,bukitkit
5333,bukitlà,bukitla
5334,buklad,buklad
5335,tingpamuklad,tingpamuklad
5336,buklad,buklad
5337,tagabuklad,tagabuklad
5338,buklas,buklas
5339,buklat,buklat
5340,bukni,bukni
5341,buknul,buknul
5342,buksidur,buksidur
5343,buksing,buksing
5344,buksiyadur,buksiyadur
5345,buktu,buktu
5346,buktun,buktun
5347,binuktunan,binuktunan
5348,buktut,buktut
5349,buku,buku
5350,buku,buku
5351,bukubuku,bukubuku
5352,bukubar,bukubar
5353,bukùbúkù,bukubuku
5354,búkud,bukud
5355,bukug,bukug
5356,bukug sa buut,bukug sa buut
5357,kabubut-un,kabubut-un
5358,bukug ug pánit,bukug ug panit
5359,walay bukug,walay bukug
5360,walay bukug ang dílà,walay bukug ang dila
5361,himukug,himukug
5362,kabukugan,kabukugan
5363,bukul,bukul
5364,búkul,bukul
5365,bukulbukul,bukulbukul
5366,pamukul,pamukul
5367,búkung,bukung
5368,búkung,bukung
5369,pamúkung,pamukung
5370,bukut,bukut
5371,búkut,bukut
5372,bukwas,bukwas
5373,bukway,bukway
5374,bukya,bukya
5375,bukyàbukyà,bukyabukya
5376,búl,bul
5377,búla,bula
5378,búla dimánu,bula dimanu
5379,bulabúla,bulabula
5380,bulandur,bulandur
5381,búla,bula
5382,búlada,bulada
5383,bulandur,bulandur
5384,búla,bula
5385,búlada,bulada
5386,búla,bula
5387,bulà,bula
5388,bulà ang bàbà pagkáun,bula ang baba pagkaun
5389,bul-a,bul-a
5390,bulábid,bulabid
5391,bulábung,bulabung
5392,bulad,bulad
5393,binlad,binlad
5394,binulad,binulad
5395,buláda,bulada
5396,buláda,bulada
5397,buladur,buladur
5398,bulag,bulag
5399,búlag,bulag
5400,hamulag,hamulag
5401,himulag,himulag
5402,bulagaw,bulagaw
5403,bulagsak,bulagsak
5404,buláhan,bulahan
5405,kabuláhanan,kabulahanan
5406,buláhan,bulahan
5407,bulahug,bulahug
5408,búlak,bulak
5409,kabúlak,kabulak
5410,bulakbúlak,bulakbulak
5411,kabulakay,kabulakay
5412,bulakan,bulakan
5413,himulak,himulak
5414,kabúlakan,kabulakan
5415,mabúlakun,mabulakun
5416,tingpamúlak,tingpamulak
5417,bulákaw,bulakaw
5418,bulakbul,bulakbul
5419,bulalakaw,bulalakaw
5420,bulalákaw,bulalakaw
5421,bulalhug,bulalhug
5422,bulálu,bulalu
5423,bulálù,bulalu
5424,bulálù,bulalu
5425,bulálung,bulalung
5426,búlan,bulan
5427,bulan,bulan
5428,pabulan,pabulan
5429,binulan,binulan
5430,binulanan,binulanan
5431,búlanun,bulanun
5432,bulanbúlan,bulanbulan
5433,bul-an,bul-an
5434,bulandus,bulandus
5435,búlang,bulang
5436,bulang,bulang
5437,pamúlang,pamulang
5438,bulangan,bulangan
5439,igbubulang,igbubulang
5440,igbululang,igbululang
5441,búlang,bulang
5442,bulanghug,bulanghug
5443,bulanghuy,bulanghuy
5444,bulanglang,bulanglang
5445,bulangsud,bulangsud
5446,bulanit,bulanit
5447,bulánit,bulanit
5448,bulansud,bulansud
5449,bulanti,bulanti
5450,tindáhan nga bulanti,tindahan nga bulanti
5451,bulanting,bulanting
5452,bulantis,bulantis
5453,úhas bulantis,uhas bulantis
5454,bularat,bularat
5455,búlas,bulas
5456,himúlas,himulas
5457,panghimúlas,panghimulas
5458,bulásut,bulasut
5459,bulátik,bulatik
5460,bulatsíra,bulatsira
5461,bulatsíru,bulatsiru
5462,bulaus,bulaus
5463,buláus,bulaus
5464,binulaus,binulaus
5465,bulaw,bulaw
5466,buláwan,bulawan
5467,pamuláwan,pamulawan
5468,bulawánun,bulawanun
5469,buláwis,bulawis
5470,bulay,bulay
5471,bulay-ug,bulay-ug
5472,bulbug,bulbug
5473,bulbul,bulbul
5474,himulbul,himulbul
5475,himulbul ang swildu,himulbul ang swildu
5476,buldu,buldu
5477,buldug,buldug
5478,buldúsir,buldusir
5479,buldyak,buldyak
5480,bulgan,bulgan
5481,bulgar,bulgar
5482,búlgar,bulgar
5483,bulhang,bulhang
5484,bulhay,bulhay
5485,bulhug,bulhug
5486,bulhun,bulhun
5487,bulhut,bulhut
5488,Bulhut!,bulhut!
5489,pabulhut,pabulhut
5490,bulhutay,bulhutay
5491,buli,buli
5492,bulì,buli
5493,bulì mu,buli mu
5494,sa ímung bulì,sa imung buli
5495,bulìbulì,bulibuli
5496,bulibard,bulibard
5497,bulíbud,bulibud
5498,bulibul,bulibul
5499,bulíbul,bulibul
5500,bulíbuy,bulibuy
5501,bulíbuyan,bulibuyan
5502,búlig,bulig
5503,kabúlig,kabulig
5504,búlig,bulig
5505,panghimúlig,panghimulig
5506,himúlig,himulig
5507,bulíkat,bulikat
5508,bulílis,bulilis
5509,bulilit,bulilit
5510,bulilyus,bulilyus
5511,bulimánu,bulimanu
5512,bulinaw,bulinaw
5513,útuk ug bulinaw,utuk ug bulinaw
5514,buling,buling
5515,bulingun,bulingun
5516,bulingit,bulingit
5517,bulingut,bulingut
5518,búling,buling
5519,bulingan,bulingan
5520,bulinga,bulinga
5521,bulinggit,bulinggit
5522,bulingit,bulingit
5523,bulingut,bulingut
5524,buliníyu,buliniyu
5525,bulintang,bulintang
5526,bulíraw,buliraw
5527,bulíring,buliring
5528,bulíru,buliru
5529,búlis,bulis
5530,buliskad,buliskad
5531,búlit,bulit
5532,bulit,bulit
5533,búlit,bulit
5534,bulítas,bulitas
5535,bulitik,bulitik
5536,bulitin,bulitin
5537,bistu ang bulitin,bistu ang bulitin
5538,bulitin upisyal,bulitin upisyal
5539,bulitsi,bulitsi
5540,bulíyus,buliyus
5541,bulkan,bulkan
5542,bulkas,bulkas
5543,bulpin,bulpin
5544,bulsa,bulsa
5545,isulud sa bulsa,isulud sa bulsa
5546,bulsáhan,bulsahan
5547,buls-ay,buls-ay
5548,bulsíta,bulsita
5549,bult,bult
5550,bult trídir,bult tridir
5551,bultáhi,bultahi
5552,bultimitru,bultimitru
5553,bultu,bultu
5554,binultu,binultu
5555,búlu,bulu
5556,búlu,bulu
5557,búlù,bulu
5558,búlu bataliyun,bulu bataliyun
5559,búlù,bulu
5560,bulúbud,bulubud
5561,búlù,bulu
5562,bulùbulù,bulubulu
5563,búlud,bulud
5564,bulug,bulug
5565,pamulug,pamulug
5566,bulugan,bulugan
5567,bulúgan,bulugan
5568,bulug,bulug
5569,bulug,bulug
5570,bulug,bulug
5571,bul-ug,bul-ug
5572,mabul-úgan,mabul-ugan
5573,bulúgan,bulugan
5574,buluk,buluk
5575,buluk,buluk
5576,buluk,buluk
5577,buluk,buluk
5578,búluk,buluk
5579,bulukbuluk,bulukbuluk
5580,bulúkut,bulukut
5581,bulung,bulung
5582,búlung,bulung
5583,magbubulung,magbubulung
5584,búlung,bulung
5585,búlung,bulung
5586,hibúlung,hibulung
5587,kabúlung,kabulung
5588,kahibudngan,kahibudngan
5589,kahibudngánun,kahibudnganun
5590,kahibúlungan,kahibulungan
5591,mahibudngánun,mahibudnganun
5592,búlung,bulung
5593,búlung,bulung
5594,bulúngan,bulungan
5595,buluníyu,buluniyu
5596,buluntǎd,buluntad
5597,buluntǎr,buluntar
5598,buluntǎryu,buluntaryu
5599,buluntǐr,buluntir
5600,bulus,bulus
5601,bulus,bulus
5602,bulut,bulut
5603,buluungun,buluungun
5604,búluy,buluy
5605,bulwang,bulwang
5606,kabulwang,kabulwang
5607,bulwang,bulwang
5608,bulyum,bulyum
5609,búm,bum
5610,bumba,bumba
5611,mamumumba,mamumumba
5612,igbubumba,igbubumba
5613,bumba,bumba
5614,dibumba,dibumba
5615,ripling dibumba,ripling dibumba
5616,bumbíra,bumbira
5617,bumbíru,bumbiru
5618,bumbiruhan,bumbiruhan
5619,bumbardíyu,bumbardiyu
5620,bumbay,bumbay
5621,sibúyas bumbay,sibuyas bumbay
5622,binumbay,binumbay
5623,bumbil,bumbil
5624,bumbilya,bumbilya
5625,bumbu,bumbu
5626,buna,buna
5627,bunabúna,bunabuna
5628,bun-ag,bun-ag
5629,búnak,bunak
5630,bunakan,bunakan
5631,bunakun,bunakun
5632,búnal,bunal
5633,andir dibúnal,andir dibunal
5634,bunal,bunal
5635,búnaw,bunaw
5636,bunáyus,bunayus
5637,bunbun,bunbun
5638,pamunbun,pamunbun
5639,bun buyids,bun buyids
5640,bundak,bundak
5641,bundak sa salà,bundak sa sala
5642,bundù,bundu
5643,bundul,bundul
5644,búng,bung
5645,búnga,bunga
5646,búnga sa katúlug,bunga sa katulug
5647,búnga ug singut,bunga ug singut
5648,búngang káhuy,bungang kahuy
5649,himúnga,himunga
5650,himungáun,himungaun
5651,himungáhun,himungahun
5652,mabungáhun,mabungahun
5653,tingbunga,tingbunga
5654,búnga,bunga
5655,búnga di Tsína,bunga di tsina
5656,bungabung,bungabung
5657,bungábung,bungabung
5658,bungàbungà,bungabunga
5659,búngad,bungad
5660,bungag,bungag
5661,bungáhuy,bungahuy
5662,bungálun,bungalun
5663,búngan,bungan
5664,bungánga,bunganga
5665,bungarul,bungarul
5666,bungat,bungat
5667,bungatngat,bungatngat
5668,bungátud,bungatud
5669,bungaw,bungaw
5670,bung-aw,bung-aw
5671,bungáwu,bungawu
5672,bungáwuy,bungawuy
5673,bungay,bungay
5674,bungbung,bungbung
5675,pamungbung,pamungbung
5676,bungbung,bungbung
5677,bungbung kawáyan,bungbung kawayan
5678,bungdù,bungdu
5679,bungduun,bungduun
5680,bungdù,bungdu
5681,bungdul,bungdul
5682,bunggalu,bunggalu
5683,bunggu,bunggu
5684,bunggù,bunggu
5685,bunghan,bunghan
5686,bungháyag,bunghayag
5687,bunghug,bunghug
5688,bungì,bungi
5689,búngì,bungi
5690,bungíngi,bungingi
5691,bungìngì,bungingi
5692,bungisngis,bungisngis
5693,bungiut,bungiut
5694,bungíut,bungiut
5695,bungkag,bungkag
5696,bungkagay,bungkagay
5697,bungkal,bungkal
5698,bungkaliw,bungkaliw
5699,bungkas,bungkas
5700,bungkawil,bungkawil
5701,bungkig,bungkig
5702,bungkug,bungkug
5703,bungkul,bungkul
5704,bungkut,bungkut
5705,bunglay,bunglay
5706,bunglayun,bunglayun
5707,bungsì,bungsi
5708,bungsud,bungsud
5709,bungsuran,bungsuran
5710,bungsuránan,bungsuranan
5711,binungsúran,binungsuran
5712,bungtud,bungtud
5713,himungtud,himungtud
5714,kabungtúran,kabungturan
5715,búngug,bungug
5716,bungug,bungug
5717,bungugun,bungugun
5718,bungul,bungul
5719,buta bungul,buta bungul
5720,wà makabungul,wa makabungul
5721,bungul nga lubi,bungul nga lubi
5722,búngul,bungul
5723,bungul,bungul
5724,pamungul,pamungul
5725,bungul,bungul
5726,bungulan,bungulan
5727,bungúlan,bungulan
5728,búngun,bungun
5729,búngut,bungut
5730,pabúngut,pabungut
5731,himúngut,himungut
5732,panghimúngut,panghimungut
5733,bungutbungut,bungutbungut
5734,bungutbúngut,bungutbungut
5735,búngutan,bungutan
5736,bungtan,bungtan
5737,bungutun,bungutun
5738,bungutbungutun,bungutbungutun
5739,bunguy,bunguy
5740,bunhayag,bunhayag
5741,bunhuk,bunhuk
5742,bunhukun,bunhukun
5743,babáying bunhukun,babaying bunhukun
5744,búni,buni
5745,bun-i,bun-i
5746,buníta,bunita
5747,bunítu,bunitu
5748,bunkawil,bunkawil
5749,bunkul,bunkul
5750,bunlaw,bunlaw
5751,bunlay,bunlay
5752,bunlud,bunlud
5753,bunlut,bunlut
5754,bunlutay sa tukug,bunlutay sa tukug
5755,bunsákà,bunsaka
5756,bunsíkà,bunsika
5757,bunsálù,bunsalu
5758,bunsù,bunsu
5759,bunsud,bunsud
5760,bunsudbunsud,bunsudbunsud
5761,buntag,buntag
5762,pabuntag,pabuntag
5763,pakabuntag,pakabuntag
5764,buntagbuntag,buntagbuntag
5765,bulubuntag,bulubuntag
5766,kabuntágun,kabuntagun
5767,buntagun,buntagun
5768,buntal,buntal
5769,buntas,buntas
5770,buntaug,buntaug
5771,buntaw,buntaw
5772,pamuntaw,pamuntaw
5773,buntay,buntay
5774,buntis,buntis
5775,buntis,buntis
5776,buntud,buntud
5777,buntug,buntug
5778,himuntug,himuntug
5779,buntugun,buntugun
5780,buntug,buntug
5781,pamuntug,pamuntug
5782,buntugun,buntugun
5783,buntug,buntug
5784,buntúgun,buntugun
5785,buntul,buntul
5786,buntul,buntul
5787,buntul,buntul
5788,pabuntul,pabuntul
5789,buntung,buntung
5790,bunù,bunu
5791,búnù,bunu
5792,búnuan,bunuan
5793,mamumúnù,mamumunu
5794,palamúnù,palamunu
5795,talamúnù,talamunu
5796,talimúnù,talimunu
5797,bunù,bunu
5798,bun-u,bun-u
5799,pamun-u,pamun-u
5800,búnug,bunug
5801,bunugbúnug,bunugbunug
5802,bun-ug,bun-ug
5803,bun-ug ang hilánat,bun-ug ang hilanat
5804,bun-ug ang tulug,bun-ug ang tulug
5805,mamumun-ug,mamumun-ug
5806,bun-ug,bun-ug
5807,búnuk,bunuk
5808,búnul,bunul
5809,bunul,bunul
5810,bunulun,bunulun
5811,búnus,bunus
5812,bunusan,bunusan
5813,búnus,bunus
5814,búnus,bunus
5815,bunut,bunut
5816,búnut,bunut
5817,búnut lábay,bunut labay
5818,búnut madyung,bunut madyung
5819,búnut paníngit,bunut paningit
5820,búnut supu,bunut supu
5821,bunyag,bunyag
5822,bunyágan,bunyagan
5823,bunyagan,bunyagan
5824,binunyágan,binunyagan
5825,mamumunyag,mamumunyag
5826,bunyun,bunyun
5827,bupanda,bupanda
5828,bupíti,bupiti
5829,burábug,burabug
5830,burábug,burabug
5831,buradur,buradur
5832,burak,burak
5833,burakburak,burakburak
5834,burarà,burara
5835,buraska,buraska
5836,buraw,buraw
5837,buraybúray,burayburay
5838,burd,burd
5839,burdir,burdir
5840,burding hawus,burding hawus
5841,burd,burd
5842,burda,burda
5843,binurda,binurda
5844,binurdáhan,binurdahan
5845,burdadu,burdadu
5846,burdadur,burdadur
5847,burdadíra,burdadira
5848,burdag,burdag
5849,burdáhi,burdahi
5850,buluburdáhi,buluburdahi
5851,burd pit,burd pit
5852,burdu,burdu
5853,burdug,burdug
5854,burdun,burdun
5855,burgahuy,burgahuy
5856,burgis,burgis
5857,burídu,buridu
5858,burilyus,burilyus
5859,buringug,buringug
5860,buringut,buringut
5861,buríring,buriring
5862,buriskas,buriskas
5863,búrit,burit
5864,burlas,burlas
5865,burlis,burlis
5866,burnay,burnay
5867,ismayling burnay,ismayling burnay
5868,burnir,burnir
5869,burniyu,burniyu
5870,bursa,bursa
5871,bursigi,bursigi
5872,búru,buru
5873,binúru,binuru
5874,búru,buru
5875,burud,burud
5876,burúka,buruka
5877,burukburuk,burukburuk
5878,burukinta,burukinta
5879,burukintu,burukintu
5880,burul,burul
5881,burul,burul
5882,búrul,burul
5883,burunda,burunda
5884,burung,burung
5885,buruníyu,buruniyu
5886,burus,burus
5887,burus sa pasálig,burus sa pasalig
5888,búrut,burut
5889,pabúrut,paburut
5890,burutburut,burutburut
5891,burúwas,buruwas
5892,búruy,buruy
5893,bus,bus
5894,bus,bus
5895,bus,bus
5896,bús,bus
5897,bús,bus
5898,búsa,busa
5899,búsà,busa
5900,busagak,busagak
5901,buságak,busagak
5902,busak,busak
5903,búsak,busak
5904,himúsak,himusak
5905,busal,busal
5906,busaug,busaug
5907,búsaw,busaw
5908,búsaw,busaw
5909,bus-aw,bus-aw
5910,busáwus,busawus
5911,busay,busay
5912,busbus,busbus
5913,pamusbus,pamusbus
5914,busbus,busbus
5915,busdak,busdak
5916,busdik,busdik
5917,busdù,busdu
5918,búsi,busi
5919,busíad,busiad
5920,busíkad,busikad
5921,busikad,busikad
5922,busílak,busilak
5923,busína,busina
5924,búsing,busing
5925,nabúsing,nabusing
5926,gibúsing,gibusing
5927,busing-ut,busing-ut
5928,busíru,busiru
5929,busìsì,busisi
5930,busìsíru,busisiru
5931,buskad,buskad
5932,buskad ug ngábil,buskad ug ngabil
5933,buskadíra,buskadira
5934,buskad,buskad
5935,buskag,buskag
5936,busla,busla
5937,buslahay,buslahay
5938,buslung,buslung
5939,buslut,buslut
5940,buslut sa bulsa,buslut sa bulsa
5941,buslut sa íyang ina,buslut sa iyang ina
5942,buslǔt,buslut
5943,buslǔt ug bulsa,buslut ug bulsa
5944,pamuslut,pamuslut
5945,busngal,busngal
5946,busngì,busngi
5947,bustipul,bustipul
5948,bustu,bustu
5949,búsu,busu
5950,busíru,busiru
5951,busug,busug
5952,way ka-un,way ka-un
5953,kabulusgun,kabulusgun
5954,busug,busug
5955,busugan,busugan
5956,búsug,busug
5957,bus-uk,bus-uk
5958,kabus-uk,kabus-uk
5959,busun,busun
5960,búsung,busung
5961,buswak,buswak
5962,buswang,buswang
5963,buswat,buswat
5964,busyad,busyad
5965,busyu,busyu
5966,bút,but
5967,búta,buta
5968,buta,buta
5969,buta bungul,buta bungul
5970,pakabúta,pakabuta
5971,binuta,binuta
5972,butabúta,butabuta
5973,butabuta,butabuta
5974,bútad,butad
5975,butáka,butaka
5976,butakal,butakal
5977,butakal sa gubirnu,butakal sa gubirnu
5978,pamutakal,pamutakal
5979,binutakal,binutakal
5980,himutákal,himutakal
5981,butalhag,butalhag
5982,butalid,butalid
5983,butálid,butalid
5984,butaltal,butaltal
5985,butalù,butalu
5986,butang,butang
5987,ibutang ta,ibutang ta
5988,nátù,natu
5989,ibutang sa lugar,ibutang sa lugar
5990,butangbutang,butangbutang
5991,pamutang,pamutang
5992,himutang,himutang
5993,hamutang,hamutang
5994,himútang,himutang
5995,hamútang,hamutang
5996,pahimútang,pahimutang
5997,pahamútang,pahamutang
5998,pahamtang,pahamtang
5999,butangíru,butangiru
6000,kabutang,kabutang
6001,kahimtang,kahimtang
6002,pagkabutang,pagkabutang
6003,unsang pagkabutánga,unsang pagkabutanga
6004,butang,butang
6005,usa ka butang,usa ka butang
6006,kabtang,kabtang
6007,kabtángan,kabtangan
6008,pagkabutang,pagkabutang
6009,butanika,butanika
6010,butaniku,butaniku
6011,butanti,butanti
6012,butar,butar
6013,bútas,butas
6014,limpiya bútas,limpiya butas
6015,bútas,butas
6016,butasiyun,butasiyun
6017,butay,butay
6018,butay,butay
6019,butay-ad,butay-ad
6020,butbut,butbut
6021,butbut pula,butbut pula
6022,Miuk-uk ang butbut,miuk-uk ang butbut
6023,pamutbut,pamutbut
6024,butbutun,butbutun
6025,butbut,butbut
6026,butbut,butbut
6027,buthù,buthu
6028,buti,buti
6029,butihun,butihun
6030,búti,buti
6031,búti,buti
6032,butíbut,butibut
6033,butig,butig
6034,butig,butig
6035,butígis,butigis
6036,butíka,butika
6037,butikaryu,butikaryu
6038,butíkug,butikug
6039,butíkul,butikul
6040,butíkulun,butikulun
6041,bútil,butil
6042,pagkabutil,pagkabutil
6043,kabutilun,kabutilun
6044,butilus,butilus
6045,butilya,butilya
6046,binutilya,binutilya
6047,búting,buting
6048,butingting,butingting
6049,pamutingting,pamutingting
6050,butírik,butirik
6051,butirus,butirus
6052,butíti,butiti
6053,pamutíti,pamutiti
6054,butku,butku
6055,butkun,butkun
6056,butlig,butlig
6057,butlug,butlug
6058,butsáka,butsaka
6059,butsi,butsi
6060,butsing,butsing
6061,butsir,butsir
6062,butsu,butsu
6063,butsukuy,butsukuy
6064,butu,butu
6065,pabutu,pabutu
6066,pamutu,pamutu
6067,buthanan,buthanan
6068,butu,butu
6069,bútu,butu
6070,bútù,butu
6071,sipsip bútù,sipsip butu
6072,supsup bútù,supsup butu
6073,butù,butu
6074,hibútù,hibutu
6075,himútù,himutu
6076,butùbútù,butubutu
6077,butùbútù,butubutu
6078,bútud,butud
6079,butud,butud
6080,butdánun,butdanun
6081,butuk,butuk
6082,butuk,butuk
6083,butukbutuk,butukbutuk
6084,bútuk,butuk
6085,butukbutuk,butukbutuk
6086,binútuk,binutuk
6087,but-uk,but-uk
6088,himut-uk,himut-uk
6089,but-uk,but-uk
6090,butul,butul
6091,butun,butun
6092,butung,butung
6093,pamutung,pamutung
6094,butung,butung
6095,butúnis,butunis
6096,bulubutúnis,bulubutunis
6097,bútuy,butuy
6098,butyag,butyag
6099,búud,buud
6100,buúran,buuran
6101,búug,buug
6102,buug,buug
6103,buugan,buugan
6104,buuk,buuk
6105,buukan,buukan
6106,buulbúul,buulbuul
6107,buun,buun
6108,buung,buung
6109,búung,buung
6110,binúungan,binuungan
6111,buungun,buungun
6112,buúngun,buungun
6113,búus,buus
6114,buut,buut
6115,kaping buut,kaping buut
6116,walà sa buut,wala sa buut
6117,walay buut,walay buut
6118,útang buut,utang buut
6119,unsa pay but-un?,unsa pay but-un?
6120,búut,buut
6121,buutbúut,buutbuut
6122,mabuutbuútun,mabuutbuutun
6123,but-anay,but-anay
6124,pabuut,pabuut
6125,pakabuut,pakabuut
6126,pabúut,pabuut
6127,himuut,himuut
6128,hamuut,hamuut
6129,kahimuut,kahimuut
6130,kahimut-anan,kahimut-anan
6131,mahimut-un,mahimut-un
6132,mahimut-ánun,mahimut-anun
6133,maham-utun,maham-utun
6134,but-an,but-an
6135,buútan,buutan
6136,binuutan,binuutan
6137,kabúut,kabuut
6138,kabubut-un,kabubut-un
6139,útang kabubut-un,utang kabubut-un
6140,mabúut,mabuut
6141,magbubúut,magbubuut
6142,pagbuut,pagbuut
6143,panimúut,panimuut
6144,búut,buut
6145,binúut,binuut
6146,buútan,buutan
6147,buútan,buutan
6148,buúti,buuti
6149,buwa,buwa
6150,buwa-,buwa-
6151,búwà,buwa
6152,búwà,buwa
6153,buwàbuwà,buwabuwa
6154,búwà,buwa
6155,búwaun,buwaun
6156,buwal,buwal
6157,buwang,buwang
6158,buwang,buwang
6159,búwang,buwang
6160,buway,buway
6161,búy,buy
6162,pabúy,pabuy
6163,búy,buy
