_id,head,normalized_head
265,adlaw-adlaw,adlaw-adlaw
266,adláwan,adlawan
267,adlawan,adlawan
268,inadlaw,inadlaw
269,inadláwan,inadlawan
270,kaadláwan,kaadlawan
271,kaadláwun,kaadlawun
272,pang-adlaw,pang-adlaw
273,talaadlawan,talaadlawan
274,tiadlaw,tiadlaw
275,ting-adlaw,ting-adlaw
276,adlib,adlib
277,adlip,adlip
278,adlip,adlip
279,adlù,adlu
280,administradur,administradur
281,administrasiyun,administrasiyun
282,administratíbu,administratibu
283,admirar,admirar
284,admisiyun,admisiyun
285,admitar,admitar
286,admitídu,admitidu
287,admitir,admitir
288,adngan,adngan
289,adpan,adpan
290,adpanan,adpanan
291,adris,adris
292,way adris,way adris
293,adtu,adtu
294,hiadtu,hiadtu
295,haadtu,haadtu
296,adtuan,adtuan
297,adtuúnun,adtuunun
298,aladtúun,aladtuun
299,umaadtúay,umaadtuay
300,umaadtu,umaadtu
301,kaadtuun,kaadtuun
302,adtu,adtu
303,adtut,adtut
304,adubádu,adubadu
305,adubáwu,adubawu
306,adubáwu,adubawu
307,adúbi,adubi
308,adúbu,adubu
309,adul,adul
310,adult,adult
311,adult idyukisyun,adult idyukisyun
312,adultiryu,adultiryu
313,ad-un,ad-un
314,adúna,aduna
315,dúna,duna
316,adúnay [subject],adunay [subject]
317,pakaadúna,pakaaduna
318,adunáhan,adunahan
319,pakaadunáhan,pakaadunahan
320,aduptǎr,aduptar
321,adurnu,adurnu
322,pangadurnu,pangadurnu
323,adwána,adwana
324,adyà,adya
325,adyaan,adyaan
326,adyaks,adyaks
327,adyas,adyas
328,adyinda,adyinda
329,adyinumútu,adyinumutu
330,ag,ag
331,g,g
332,ag sa,ag sa
333,agaab,agaab
334,agáak,agaak
335,agad,agad
336,agad ug,agad ug
337,y,y
338,agad nga,agad nga
339,ágad,agad
340,pangágad,pangagad
341,umagad,umagad
342,umagarun,umagarun
343,agad-ad,agad-ad
344,agad-ad,agad-ad
345,ag-ag,ag-ag
346,agagang,agagang
347,hiagang,hiagang
348,haagang,haagang
349,agáhad,agahad
350,ágak,agak
351,agakay,agakay
352,magaagak,magaagak
353,magaágak,magaagak
354,alagakun,alagakun
355,agak-ak,agak-ak
356,agálun,agalun
357,pangagálun,pangagalun
358,agan-an,agan-an
359,agan-anun,agan-anun
360,agáng,agang
361,agang-agang,agang-agang
362,agang-agangun,agang-agangun
363,agap,agap
364,agápang,agapang
365,agára,agara
366,agaray,agaray
367,ágas,agas
368,agas,agas
369,ágas ug pálad,agas ug palad
370,agaw,agaw
371,gaw,gaw
372,ig-ágaw,ig-agaw
373,ig-ágaw igtagsa,ig-agaw igtagsa
374,ig-ágaw igtagurha,ig-agaw igtagurha
375,ig-ágaw igtagutlu,ig-agaw igtagutlu
376,ig-ágaw sa kasingkásing,ig-agaw sa kasingkasing
377,mag-ágaw,mag-agaw
378,manag-ágaw,manag-agaw
379,pag-agáwan,pag-agawan
380,panag-agáwan,panag-agawan
381,sa agaw,sa agaw
382,ágaw,agaw
383,agawan,agawan
384,mangaagaw,mangaagaw
385,agáwun,agawun
386,agay,agay
387,ágay,agay
388,agay-ay,agay-ay
389,agbat,agbat
390,agbáti,agbati
391,agbaw,agbaw
392,agbay,agbay
393,agbun,agbun
394,agda,agda
395,alagdahun,alagdahun
396,agdahúnun,agdahunun
397,agdul,agdul
398,agh,agh
399,aghad,aghad
400,aghat,aghat
401,maaghátun,maaghatun
402,aghud,aghud
403,aghup,aghup
404,maaghup,maaghup
405,aghuy,aghuy
406,aghuyan,aghuyan
407,aghuy,aghuy
408,agi,agi
409,ági,agi
410,ági ug,agi ug
411,ági sa,agi sa
412,agi,agi
413,paági,paagi
414,pinaági,pinaagi
415,pangági,pangagi
416,agiánan,agianan
417,alagían,alagian
418,umaági,umaagi
419,umalági,umalagi
420,kaági,kaagi
421,kaaginhun,kaaginhun
422,maaginhun,maaginhun
423,ágid,agid
424,agigísing,agigising
425,agíik,agiik
426,agik-ik,agik-ik
427,agil,agil
428,igalagil,igalagil
429,agila,agila
430,agímud,agimud
431,aginaldu,aginaldu
432,mísa diaginaldu,misa diaginaldu
433,agíngay,agingay
434,aginsud,aginsud
435,agínud,aginud
436,agipu,agipu
437,agiri,agiri
438,agis-is,agis-is
439,agit-it,agit-it
440,agit-it,agit-it
441,agit-itun,agit-itun
442,agítung,agitung
443,agitung,agitung
444,ágiw,agiw
445,paágiw,paagiw
446,alagiwan,alagiwan
447,ágiwanan,agiwanan
448,agkut,agkut
449,aglidulsi,aglidulsi
450,aglípay,aglipay
451,aglipayánu,aglipayanu
452,agmang,agmang
453,agmud,agmud
454,agngan,agngan
455,agni,agni
456,agnus,agnus
457,agpan,agpan
458,agpang,agpang
459,agpas,agpas
460,paagpas,paagpas
461,pangagpas,pangagpas
462,agrabiyar,agrabiyar
463,agrabyádu,agrabyadu
464,agrabyu,agrabyu
465,agri,agri
466,agridulsi,agridulsi
467,agrigáwu,agrigawu
468,agrikultúra,agrikultura
469,agrikulturista,agrikulturista
470,agriminsur,agriminsur
471,agrísib,agrisib
472,agrisíba,agrisiba
473,agrisíbu,agrisibu
474,inagrisíbu,inagrisibu
475,agsa,agsa
476,agsa,agsa
477,agsing,agsing
478,agtà,agta
479,agtang,agtang
480,agtangun,agtangun
481,agtì,agti
482,agú,agu
483,Agu.,agu.
484,agū̀,agu
485,agubhub,agubhub
486,agub-ub,agub-ub
487,agub-ub,agub-ub
488,agud,agud
489,agúha,aguha
490,aguhilya,aguhilya
491,agúhù,aguhu
492,aguk-uk,aguk-uk
493,agúkuy,agukuy
494,agul,agul
495,agulang,agulang
496,agúlù,agulu
497,agum,agum
498,águm,agum
499,paágum,paagum
500,hiágum,hiagum
501,haágum,haagum
502,kaáguman,kaaguman
503,agumáa,agumaa
504,agúmud,agumud
505,agum-um,agum-um
506,águng,agung
507,agúngal,agungal
508,agung-ung,agung-ung
509,agung-ung,agung-ung
510,agúnguy,agunguy
511,aguníyas,aguniyas
512,aguntù,aguntu
513,agup-up,agup-up
514,agup-upun,agup-upun
515,aguruy,aguruy
516,águs,agus
517,agusahis,agusahis
518,Agustu,agustu
519,agus-us,agus-us
520,agut,agut
521,agutun,agutun
522,agút,agut
523,agútay,agutay
524,aguting,aguting
525,agutíut,agutiut
526,agutnga,agutnga
527,agut-ut,agut-ut
528,agut-ut,agut-ut
529,agut-ut,agut-ut
530,agúut,aguut
531,aguy,aguy
532,aguyangyang,aguyangyang
533,aguyangyang,aguyangyang
534,agwa,agwa
535,agwa bindíta,agwa bindita
536,pangagwa,pangagwa
537,agwahan,agwahan
538,agwa uksináda,agwa uksinada
539,agwáda,agwada
540,pangagwáda,pangagwada
541,agwádu,agwadu
542,agwadur,agwadur
543,agwanta,agwanta
544,agwanta nga,agwanta nga
545,agwanta muy,agwanta muy
546,agwantadu,agwantadu
547,agwantadur,agwantadur
548,agwardiyinti,agwardiyinti
549,agwas,agwas
550,agwas putablis,agwas putablis
551,agwasil,agwasil
552,agwásun,agwasun
553,ah,ah
554,aha,aha
555,aháan,ahaan
556,áhag,ahag
557,áhagan,ahagan
558,áhak,ahak
559,áhas,ahas
560,áhas,ahas
561,ahat,ahat
562,athanay,athanay
563,ahaw,ahaw
564,ahay,ahay
565,ahidris,ahidris
566,ahidrisan,ahidrisan
567,ahinghu,ahinghu
568,ahinsiya,ahinsiya
569,ahinti,ahinti
570,ahinti sa bábuy,ahinti sa babuy
